HREF,CONAME,EMAIL,PHONE,FAX,ADDRESS,FAILMSG,BIGCAT,SMALLCAT
http://www.thegreenbook.com/companies/grand-central-enterprises-pte-ltd/,Grand Central Enterprises (Pte) Ltd,grancent@singnet.com.sg,+65  62525649,+65  62536461,25 Tannery Lane #01-27  S(347786),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/hardmetal-products-s-pte-ltd/,Hardmetal Products (S) Pte Ltd,hmtpro@singnet.com.sg,+65  65474344,+65  65474244,623 Aljunied Rd #05-07 Aljunied Ind Complex S(389835),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/homely-hardware-pte-ltd-changi-/,Homely Hardware Pte Ltd (Changi),,+65 67428557,+65 67470522,341 Changi Rd S(419812),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/dyna-m-industrial-pte-ltd/,Dyna-M Industrial Pte Ltd,sales@dyna-m.sg,+65  63666366,+65  67675357,70 Tuas South Ave 2  Tuas Bay Industrial Centre S(637522),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/durosives-engineering-services/,Durosives Engineering Services,durosives@gmail.com,+65  96870601,+65  64250913,50 Bt Batok St 23 #04-15 Midview Bldg S(659578),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/yew-cheong-asiapac-pte-ltd/,Yew Cheong (Asiapac) Pte Ltd,yca23@singnet.com.sg,+65  62962323,+65  62972323,51 Kallang Pl S(339176),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/united-industrial-products-pte-ltd/,United Industrial Products Pte Ltd,daniel@uitmail.com,+65  67469835,+65  67450385,Blk 1013 Geylang East Ave 3 #03-128  S(389728),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/trg-asia-pte-ltd/,TRG Asia Pte Ltd,enquiry@trgasia.com.sg,+65  65535488,+65  65531807,27 Woodlands Ind Pk E2 Nordix S(757460),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/tooling-cutting-technologies-pte-ltd/,Tooling & Cutting Technologies Pte Ltd,,+65 62965393,+65 62964383,Blk 808 French Rd #03-179 Kitchener Complex S(200808),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/unique-hardware-co-pte-ltd/,Unique Hardware Co Pte Ltd,ypteo@unique.com.sg,+65  67484211,+65  67478026,7 Woodlands Ter   S(738432),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/warenest-hardware-s-pte-ltd/,Warenest Hardware (S) Pte Ltd,info@warenest.com.sg,+65  63162339,+65  63162303,51 Bt Batok Cres #02-03 Unity Centre S(658077),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/sma-industrial-services/,SMA Industrial Services,sales@smaindustrial.com.sg,+65  65604828,+65  65605083,Blk 2022 Bt Batok St 23 #03-128 Bt Batok Ind Pk A S(659527),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/tek-an-pte-ltd/,Tek An Pte Ltd,sales@tekan.com.sg,+65  62951661,+65  62921662,Blk 7 Kallang Pl #06-03/04  S(339153),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/taikyuu-industrial-supply-pte-ltd/,Taikyuu Industrial Supply Pte Ltd,sales@taikyuu.com.sg,+65  67457098,+65  67457909,37 Tannery Lane #05-08 Tannery Hse S(347790),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/sellery-tools-pte-ltd/,Sellery Tools Pte Ltd,sales@sellerytools.com.sg,+65  67469755,+65  67433115,41 Kallang Pudding Rd #01-02 Golden Wheel Bldg S(349316),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/sing-brothers-hardware-pte-ltd/,Sing Brothers Hardware Pte Ltd,singbrothershardwares@yahoo.com.sg,+65  67470660,+65  67474110,81 Genting Lane #01-01 Everich Ind Bldg S(349566),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/production-link-pte-ltd/,Production Link Pte Ltd,plink@singnet.com.sg,+65  64622477,+65  64622505,48 Toh Guan Rd East #09-131 Enterprise Hub S(608586),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/pfe-technologies-pte-ltd/,PFE Technologies Pte Ltd,sales@pfetec.com,+65  65586388,+65  65587310,9 Gul St 4   S(629238),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/nimic-far-east-pte-ltd/,Nimic Far East Pte Ltd,salessupport@nimic.com.sg,+65  67481110,+65  67773686,54 Genting Lane #05-03 Ruby Land Complex Blk 2 S(349562),,architect builder contractor guides,abrasive cutting wheels
http://www.thegreenbook.com/companies/argo-international-marine-pte-ltd/,Argo International Marine Pte Ltd,argomarine@singnet.com.sg,+65  65643295,+65  65631784,1 Soon Lee St #03-66 Pioneer Centre S(627605),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/air-power-resources-pte-ltd/,Air Power Resources Pte Ltd,info@airpower.com.sg,+65  65451831,+65  65422808,Blk 30 Loyang Way #04-22 Loyang Ind Est S(508769),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/airnergy-compressor-services-pte-ltd/,AirNergy Compressor Services Pte Ltd,compressor@airnergy.com.sg,+65  68481023,+65  68481038,52 Ubi Ave 3 #04-43 Frontier S(408867),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/air-parts-centre-pte-ltd/,Air Parts Centre Pte Ltd,enquiry@airpartscentre.com,+65  64849553,+65  64849550,Blk 4010 Ang Mo Kio Ave 10 #07-03 TechPlace 1 S(569626),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/toyo-marine-industrial-s-pte-ltd/,Toyo Marine & Industrial (S) Pte Ltd,sales@toyomarine.com.sg,+65  67481588,+65  67489711,Blk 3005 Ubi Ave 3 #03-86/88 S(408861),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/rockford-enterprises/,Rockford Enterprises,rkford@singnet.com.sg,+65  67452301,+65  67452172,Blk 3026 Ubi Rd 1 #01-166 S(408719),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/imet-equipment-pte-ltd/,IMET Equipment Pte Ltd,imet_equipment@singnet.com.sg,+65  68610998,+65  68610997,27 Tuas View Wlk 2 S(637638),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/kobelco-machinery-asia-pte-ltd/,Kobelco Machinery Asia Pte Ltd,comp.sales@kobelco.com,+65  62620586,+65  62613719,60 Pandan Rd S(609294),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/millennium-international-machinery/,Millennium International Machinery,alan.wong@mim.sg,+65  62500450,+65  65099188,P O Box 30 Toa Payoh Central Post Office S(913101),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/altech-equipment-systems-pte-ltd/,Altech Equipment Systems Pte Ltd,mail@altech-equipment.com,+65  65701293,+65  65706773,1 Bt Batok Cres #08-35 WCEGA Plaza S(658064),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/csi-oil-gas-pte-ltd/,CSI Oil & Gas Pte Ltd,sales@csi-pl.com,+65  67484818,+65  67484814,8 Pioneer Walk   S(627635),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/staubli-singapore-pte-ltd/,Staubli Singapore Pte Ltd,singapore@staubli.com,+65  62660900,+65  62661066,215 Henderson Rd #01-02 Henderson Ind Pk S(159554),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/compair-far-east-pte-ltd/,CompAir Far East Pte Ltd,sales.singapore@compair.com,+65  66020738,+65  65621577,30 Boon Lay Way #01-01  S(609957),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/filtro-pte-ltd/,Filtro Pte Ltd,sales@filtro.com.sg,+65  63922552,+65  63924456,7 Kallang Pl #04-08 S(339153),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/atom-drive-pte-ltd/,Atom-Drive Pte Ltd,compressor@atomdrive.com.sg,+65  62433007,+65  62452084,3018 Bedok Nth St 5 #05-48 Eastlink S(486132),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/havazy-spares/,Havazy Spares,sales@havazy.com.sg,+65  64817236,+65  64815845,Blk 5028 Ang Mo Kio Ind Pk 2 #01-167  S(569531),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/hiaplite-traders/,Hiaplite Traders,hiaplite@singnet.com.sg,+65  63661898,+65  62192122,38 Woodlands Ind Pk E1 #03-01 Admiralty Ind Pk S(757700),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/goh-igs-automation-pte-ltd/,Goh IGS & Automation Pte Ltd,igssales@giaearth.com,+65  96755460,+65  63168572,18 boon lay way #08-101 tradehub 21 S(609966),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/general-filter-pte-ltd/,General Filter Pte Ltd,inquiry@filter.com.sg,+65  67373033,+65  67349619,Blk 30 Kallang Pl #04-16/17  S(339159),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/g-bright-international-pte-ltd/,G-Bright International Pte Ltd,gbimkt@singnet.com.sg,+65  67651016,+65  67698477,151 Chin Swee Rd #07-12 Manhattan Hse S(169876),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/filtec-pte-ltd/,Filtec Pte Ltd,sales@filters.com.sg,+65  64837530,+65  64837520,14 ang mo kio st 63 S(569116),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/dragon-pumps-systems-pte-ltd/,Dragon Pumps & Systems Pte Ltd,info@dragonpumps.com.sg,+65  67418187,+65  67416826,2 Kallang Pudding Rd #06-10 Mactech Bldg S(349307),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/donaldson-filtration-asia-pacific-pte-ltd/,Donaldson Filtration (Asia Pacific) Pte Ltd,enquiry@donaldson.com,+65  63498168,+65  63117399,3 Changi Business Pk Vista #02-00  S(486051),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/carbonite-elecmech-s-pte-ltd/,Carbonite Elecmech (S) Pte Ltd,carbonite@pacific.net.sg,+65 62962656,,Blk 808 French Rd #07-163 Kitchener Complex S(200808),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/css-engineering-pte-ltd/,CSS Engineering Pte Ltd,cssengineering@singnet.com.sg,+65  93838718,+65  67845568,Blk 9003 Tampines St 93 #03-126 S(528837),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/beng-chuan-machine-pte-ltd/,Beng Chuan Machine Pte Ltd,bcms1993@singnet.com.sg,+65  63681583,+65  68537372,10 Admiralty St #04-82 North Link Bldg S(757695),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/ark-vision-spare-engineering-pte-ltd/,Ark Vision Spare & Engineering Pte Ltd,arkvision@singnet.com.sg,+65  68623379,+65  68630930,51 Tuas Ave 1   S(639501),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/asia-pacific-power-pte-ltd/,Asia Pacific Power Pte Ltd,sales@powergen.com.sg,+65 62685155,+65 62685755,220 Woodlands Ind Pk E5 #02-00 Woodlands Bizhub S(757292),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/power-parts-pte-ltd/,Power Parts Pte Ltd,powerp@singnet.com.sg,+65  67444945,+65  67471847,Blk 3027 Ubi Rd 1 #03-104 S(408720),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/petroquip-engineering-pte-ltd/,Petroquip Engineering Pte Ltd,petroquip@singnet.com.sg,+65  67468877,+65  67467722,Blk 1 Kaki Bt Ave 3 #04-02 KB-1 S(416087),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/naiko-marine-supplies-pte-ltd/,Naiko Marine Supplies Pte Ltd,naiko@singnet.com.sg,+65  62945566,+65  62920433,Blk 803 King George's Ave #02-204  S(200803),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/presair-industrial-services/,Presair Industrial Services,presair1@singnet.com.sg,+65 68931854,+65 68930879,Blk 134 Jurong East St 13 #04-309 S(600134),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/orient-marine-pte-ltd/,Orient Marine Pte Ltd,sales@ompl-fe.com.sg,+65  62666168,+65  62665997,2 Sixth Lok Yang Rd #03-01  S(628100),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/multi-corporation-s-pte-ltd/,Multi-Corporation (S) Pte Ltd,mcs@multicorporation.net,+65 68632863,+65 68636880,11 Tuas View Cres Multico Bldg S(637643),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/keong-eng-auto-spare-parts-co-warehouse-/,Keong Eng Auto Spare Parts Co (Warehouse),,+65 62876611,+65 62801353,1 Ubi View #01-11 Focus One S(408555),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/mann-hummel-filter-technology-s-e-a-pte-ltd/,Mann+Hummel Filter Technology (S.E.A.) Pte Ltd,mhsg@mann-hummel.com,+65  65868181,+65  65868180,1 International Business Pk #03-15 The Synergy S(609917),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/keong-eng-pte-ltd/,Keong Eng Pte Ltd,sales@keongeng.com,+65  62876611,+65  62801353,Blk 38 Defu Lane 10 #01-25  S(539215),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/minato-marine-services-pte-ltd/,Minato Marine Services Pte Ltd,sales@minatomarine.jp,+65  63339601,+65  63339661,1 North Bridge Rd #18-05A High St Centre S(179094),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/kee-beng-filters-s-pte-ltd/,Kee Beng Filters (S) Pte Ltd,sales@keebeng.com,+65  62936732,+65  62960131,50 Bendemeer Rd S(339933),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/kaeser-kompressoren-pte-ltd/,Kaeser Kompressoren Pte Ltd,kaeser.sg@kaeser.com,+65  68857733,+65  68857700,81 Tech Pk Cres Tuas Techpark S(638067),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/indotech-enterprise-pte-ltd/,Indotech Enterprise Pte Ltd,indotech@singnet.com.sg,+65  63388700,+65  63383488,89 Short St #10-10 Golden Wall Centre S(188216),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/wk-global-pte-ltd/,WK Global Pte Ltd,sales@wkglobal.com.sg,+65  68440178,+65  68443362,67 Ubi Cres #03-09 Techniques Centre S(408560),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/wapro-engineering-services/,Wapro Engineering Services,wapro@pacific.net.sg,+65  64757993,+65  66988441,51 Bt Batok Cres #08-37 Unity Centre S(658077),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/ubm-engineering-services-s-pte-ltd/,UBM Engineering Services (S) Pte Ltd,sales@ubm.com.sg,+65  65332588,+65  65332488,317 Outram Rd #01-01 Holiday Inn Atrium S(169075),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/toolsedge-pte-ltd/,Toolsedge Pte Ltd,info@te.com.sg,+65  68467392,+65  68469871,10 Ubi Cres #04-34 Ubi Techpark Lobby B S(408564),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/vincent-air-compressor-services-pte-ltd/,Vincent Air Compressor Services Pte Ltd,vinair@singnet.com.sg,+65  67423995,+65  67423886,Blk 3028A Ubi Rd 3 #01-88 S(408657),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/thong-soon-hock-enterprise/,Thong Soon Hock Enterprise,lewis328@singnet.com.sg,+65  62911452,+65  62911021,27 Foch Rd #03-08/11 Hoa Nam Bldg S(209264),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/thermic-coating-industries-pte-ltd/,Thermic Coating Industries Pte Ltd,info@thermic.com.sg,+65  67490270,+65  67490209,Blk 1046 Eunos Ave 5 #01-119 S(409746),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/siong-ann-machinery-pte-ltd/,Siong Ann Machinery Pte Ltd,siongannmach@yahoo.com.sg,+65  62971515,+65  62983440,1 Kaki Bt Rd 2 #01-08 Eunos Warehouse Complex S(417835),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/royal-marine-engineering-services-supplies/,Royal Marine Engineering Services & Supplies,sales@royalmarine-processequipment.com,+65  68861226,+65  68861226,1 Kaki Bt Rd 1 #02-44 Enterprise One S(415934),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/seenly-pte-ltd/,Seenly Pte Ltd,seenlypl@gmail.com,+65  67486071,+65  67455589,8 Lor Bakar Batu #02-05/06 Kolam Ayer Ind Pk S(348743),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/seiho-machinery-electric-co-pte-ltd/,Seiho Machinery & Electric Co Pte Ltd,sales@seiho.com.sg,+65  62921209,+65  62982508,Blk 803 King George's Ave #02-218  S(200803),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/roger-international-equipment-services-pte-ltd/,Roger International Equipment & Services Pte Ltd,sales@rogermo.com,+65  65541533,+65  68582387,6 Tuas View Loop   S(637672),,architect builder contractor guides,air compressor parts
http://www.thegreenbook.com/companies/g-l-hardware-marketing-pte-ltd/,G & L Hardware Marketing Pte Ltd,sales@glhardware.com,+65 67446058,+65 67449948,50 Genting Lane #03-01 Cideco Ind Complex S(349558),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/poh-wah-machinery-trading-pte-ltd/,Poh Wah Machinery & Trading Pte Ltd,sales@pohwah.com.sg,+65 65623438,+65 63683872,17 Sg Kadut St 3 S(729148),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/hup-hong-machinery-s-pte-ltd/,Hup Hong Machinery (S) Pte Ltd,sales@huphong.com.sg,+65  62967711,+65  62971963,101 Kitchener Rd #01-12/14 Jln Besar Plaza S(208511),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/boge-kompressoren-asia-pacific-pte-ltd/,Boge Kompressoren Asia Pacific Pte Ltd,singapore@boge.com,+65  63245295,+65  63245296,9 Toh Guan Rd East #03-01  S(608604),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/sperre-asia-pte-ltd/,Sperre Asia Pte Ltd,asia@sperre.com,+65 67636300,+65 67631811,21 Bt Batok Cres #26-72 WCEGA Tower S(658065),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/vtech-air-compressor-pte-ltd/,Vtech Air Compressor Pte Ltd,information@vtechair.sg,+65  67543832,+65  65557572,Blk 5048 Ang Mo Kio Ind Pk 2 #01-625  S(569551),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/lian-beng-machinery-co/,Lian Beng Machinery Co,mervin@lbmc.com.sg,+65 64492759,+65 64499550,3012 BEDOK INDUSTRIAL PK E #04-2062 BEDOK INDUSTRIAL PARK E S(489978),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/tractors-singapore-ltd/,Tractors Singapore Ltd,tractors@tractors.simedarby.com.sg,+65  62612222,+65  62656772,26 Benoi Sec   S(629858),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/aik-chin-hin-machinery-co/,Aik Chin Hin Machinery Co,sales@aikchinhin.com,+65  64835888,+65  64833825,Blk 5022 Ang Mo Kio Ind Pk 2 #01-31  S(569525),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/meng-hai-services/,Meng Hai Services,,+65 67868746,+65 67868747,Blk 9008 Tampines St 93 #04-31 S(528843),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/master-marine-pte-ltd/,Master Marine Pte Ltd,,+65  62540813,+65  62538443,304 Thomson Rd S(307654),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/mega-hardware-pte-ltd/,Mega Hardware Pte Ltd,megahw@singnet.com.sg,+65  65708381,+65  65708648,11 Serangoon Nth Ave 5 #04-03  S(554809),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/mandarin-engineering-pte-ltd/,Mandarin Engineering Pte Ltd,,+65 62737866,+65 62737867,Blk 54 Kent Rd #11-02 S(210054),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/mecomb-singapore-ltd/,Mecomb Singapore Ltd,enquiry.msl@simedarby.com.sg,+65  65721200,+65  62656160,6 Jurong Pier Rd   S(619158),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/marine-industrial-compressors-pte-ltd/,Marine & Industrial Compressors Pte Ltd,masmarin@mbox4.singnet.com.sg,+65 67630461,+65 62522940,25 Chu Lin Rd S(669919),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/mecomb-singapore-ltd-electronic-scientific-instruments-dept-/,Mecomb Singapore Ltd (Electronic & Scientific Instruments Dept),mecomb@singnet.com.sg,+65  65721200,+65  62656160,6 Jurong Pier Rd   S(619158),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/l-w-compressors-systems-pte-ltd/,L & W Compressors + Systems Pte Ltd,,+65  67321178,+65  67321176,5 Tank Rd #02-02 Nagarathar Bldg S(238061),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/liang-seng-air-compressors-engineering/,Liang Seng Air Compressors Engineering,fiona@liangsengair.com.sg,+65  67471944,+65  67454883,Blk 1074 Eunos Ave 6 #01-187  S(409630),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/libra-multi-tech-pte-ltd/,Libra Multi-Tech Pte Ltd,lmtpl@singnet.com.sg,+65  62614288,+65  62613488,50 Tuas Ave 11 #01-39/40 Tuas Lot S(639107),,architect builder contractor guides,air compressors
http://www.thegreenbook.com/companies/kohlim-engineering-services-pte-ltd/,Kohlim Engineering Services Pte Ltd,patphlim@singnet.com.sg,+65  62531717,+65  62530505,Blk 1003 Toa Payoh Ind Pk #05-1515  S(319075),,architect builder contractor guides,air compressors
